title,link,image
"When a talented, transformative principal leaves, can a school sustain success?",http://www.theatlantic.com/education/archive/2016/06/the-departure-of-the-turnaround-principal/487487/,/img/press/press_atlantic.png
"How Two Young Social Entrepreneurs Are Trying To Close The Inspiration Gap In Schools",http://www.huffingtonpost.com/2015/04/14/the-future-project_n_7043956.html,/img/press/press_huffpo.png
"McCourt Global Makes Transformative $10m Investment in The Future Project",http://www.prnewswire.com/news-releases/mccourt-global-makes-transformative-10m-investment-in-the-future-project-to-launch-the-award-winning-non-profits-campaign-to-reach-millions-of-young-americans-300029682.html,/img/press/press_prnewswire.png
"Q&A: Frank E. Brady & The Future Project",http://soultrain.com/2015/01/28/qa-frank-e-brady-future-project/,/img/press/press_soultrain.png
"How Dream Coordinators at Schools Help Students Reach Goals",http://blogs.kqed.org/mindshift/2014/10/how-dream-coordinators-at-schools-help-students-reach-goals/,/img/press/press_kqed.png
"Alicia Keys Asks: Why Are We Here?",http://www.nytimes.com/2014/09/21/opinion/sunday/nicholas-kristof-alicia-keys-asks-why-are-we-here.html,/img/press/press_nyt.png
"New Haven’s High School In The Community Hosts Arts Workshops",http://foxct.com/2014/04/02/new-havens-high-school-in-the-community-hosts-arts-workshops/,/img/press/press_foxct.png
"The Future Project - Helping students change the world with their wildest dreams",http://blog.en.idealist.org/the-future-project-helping-students-change-the-world-with-their-wildest-dreams,/img/press/press_idealist.png
"Encouraging Students to Imagine the Impossible",http://www.theatlantic.com/national/archive/2013/07/encouraging-students-to-imagine-the-impossible/278017/,/img/press/press_atlantic.png
"Andrew Mangino: Bestirring a Movement, Ben Franklin-Style",http://www.businessinnovationfactory.com/weblog/andrew-mangino-bestirring-movement-ben-franklin-style/,/img/press/press_bif.png
"High-Powered Cast Gets Behind “Dream City”",http://www.newhavenindependent.org/index.php/archives/entry/future_project_expanding_citywide/,/img/press/press_nhindependent.png
"Having A Dream, And A Dream Director, In High School",http://ny.chalkbeat.org/2013/05/10/having-a-dream-and-a-dream-director-in-high-school/,/img/press/press_chalkbeat.png
"New Haven Academy student works to fight sex trafficking",http://www.nhregister.com/general-news/20130408/new-haven-academy-student-works-to-fight-sex-trafficking,/img/press/press_nhregister.png
"How Two Young Dreamers (And Their Supporters) Are Changing American Education",http://www.forbes.com/sites/kathycaprino/2013/04/26/how-two-young-dreamers-and-their-supporters-are-changing-american-education/,/img/press/press_forbes.png
"Igniting Kids’ Passion To Save Our Failing Schools",http://www.fastcoexist.com/1681845/igniting-kids-passion-to-save-our-failing-schools,/img/press/press_fastcompany.png
"Edwards pushes Wilson High to higher goals",http://www.districtchronicles.com/student-life/edwards-pushes-wilson-high-to-higher-goals-1.2973866#.UYFYh5XIF5g,/img/press/press_districtchronicles.png
"“Give Peace A Chance & Just Dance”",http://www.newhavenindependent.org/index.php/archives/entry/a_movement_to_end_violence/,/img/press/press_nhindependent.png
"30 Under 30",http://www.forbes.com/pictures/ekeg45kfk/andrew-mangino-26/,/img/press/press_forbes.png
"Introducing Dream Teams",http://dailynutmeg.com/2012/09/20/the-future-project-dream-teams/,/img/press/press_nutmeg.png
"A “Future Revolution” Hits New Haven",http://www.newhavenindependent.org/index.php/archives/entry/the_future_project_inspires_a_revolution/,/img/press/press_nhindependent.png
"New Haven students show how they can make a better future",http://www.nhregister.com/articles/2012/04/28/news/new_haven/doc4f9cb5483e58a573368343.txt,/img/press/press_nhregister.png
